scan_id,business,keyword,zoom,cell,lat,lng,dfs_rank,scrapingdog_rank,delta_sd_minus_dfs,dfs_mode,dfs_item_count,sd_item_count,stored_rank_in_app,exact_match
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F5,,,3,2,-1,fallback,21,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F6,,,2,2,0,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,F7,,,2,2,0,fallback,21,20,9,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G1,,,4,5,1,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G2,,,4,4,0,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G3,,,4,4,0,fallback,20,20,5,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G4,,,4,3,-1,fallback,20,20,6,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G5,,,3,2,-1,fallback,20,20,8,no
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G6,,,,,sta=true,1,20,1,missing
eaf2a843-3cb2-4af4-a78d-6318d41c5ceb,Junk Removal Woodbridge,junk removal woodbridge,17,G7,,,3,2,-1,fallback,20,20,9,no
